,Large1_TG1,Large1_TG2,Large1_TG3,Large1_TG4,Large1_TG5,Large2_TG1,Large2_TG2,Large2_TG3,Large2_TG4,Large2_TG5,Medium1_TG1,Medium1_TG2,Medium1_TG3,Medium1_TG4,Medium1_TG5,Medium2_TG1,Medium2_TG2,Medium2_TG3,Medium2_TG4,Medium2_TG5,Small1_TG1,Small1_TG2,Small1_TG3,Small1_TG4,Small1_TG5,Small2_TG1,Small2_TG2,Small2_TG3,Small2_TG4,Small2_TG5
0,0,0,0,0,0,0.246040126715945,0.179514255543823,0.0126715945089757,0.25026399155227,0.311510031678986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.159090909090909,0.204545454545455,0.136363636363636,0,0,0.204545454545455,0.159090909090909,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.489247311827957,0,0,0,0,0.510752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0.141133896260555,0.101326899879373,0.00361881785283474,0.00301568154402895,0.0060313630880579,0.135705669481303,0.100723763570567,0.00784077201447527,0.00301568154402895,0.00422195416164053,0.153196622436671,0.0790108564535585,0.00422195416164053,0.00120627261761158,0.00482509047044632,0.145355850422195,0.0958986731001206,0.00422195416164053,0.00060313630880579,0.00482509047044632
4,0,0,0,0,0,0,0,0,0,0,0.00405770964833183,0.00450856627592426,0.00315599639314698,0.118124436429216,0.123985572587917,0.00315599639314698,0.00541027953110911,0.00315599639314698,0.107303877366997,0.122182146077547,0.00450856627592426,0.0018034265103697,0.00405770964833183,0.12082957619477,0.137962128043282,0.00270513976555455,0.00450856627592426,0.000901713255184851,0.106402164111812,0.121280432822363
5,0,0,0,0,0,0,0,0,0,0,0,0,0.250325945241199,0,0,0,0,0.255541069100391,0,0,0,0,0.247718383311604,0,0,0,0,0.246414602346806,0,0
6,0,0,0,0,0,0.0952380952380952,0,0,0,0,0.19047619047619,0,0.238095238095238,0,0,0,0,0.19047619047619,0,0,0.0476190476190476,0.0476190476190476,0.142857142857143,0,0,0,0,0.0476190476190476,0,0
7,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.58974358974359,0.377622377622378,0.0233100233100233,0.00932400932400932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0.461538461538462,0,0,0,0,0.538461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0.0204081632653061,0,0,0,0.102040816326531,0.0408163265306122,0.204081632653061,0,0,0.0408163265306122,0.0408163265306122,0.142857142857143,0,0,0,0.0408163265306122,0.163265306122449,0,0,0.0612244897959184,0.0204081632653061,0.102040816326531,0,0.0204081632653061
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.0338983050847458,0.0677966101694915,0.0169491525423729,0.0338983050847458,0.0508474576271187,0.0169491525423729,0.0338983050847458,0.0677966101694915,0.169491525423729,0.0508474576271187,0.0169491525423729,0.0338983050847458,0,0.0338983050847458,0.0508474576271187,0.0847457627118644,0.0169491525423729,0.0169491525423729,0,0.0169491525423729,0.0169491525423729,0,0,0.0508474576271187,0.0338983050847458,0.0169491525423729,0.0169491525423729,0.0338983050847458,0.0169491525423729
13,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0.037037037037037,0.111111111111111,0,0.0185185185185185,0,0.037037037037037,0.0555555555555556,0,0.0185185185185185,0.0555555555555556,0.0740740740740741,0.166666666666667,0,0.0185185185185185,0.12962962962963,0.0740740740740741,0.0925925925925926,0.037037037037037,0.0185185185185185
14,0.0164233576642336,0.0127737226277372,0.0072992700729927,0.456204379562044,0.507299270072993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,1,9,,14,,,2,,0,6,,11,,7,,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,,,3,,10,,4,13,,,,
