procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 507692  23268   2364 139704  228  342  1578   363  995  461  1  5 92  1  0
 0  0 507436  20788   2364 141056  336    0  1736     0 4881 1368  4 10 85  1  0
 0  0 507436  21296   2364 141076  104    0   104     0 5231  837  2 11 87  0  0
 0  0 507436  22004   2372 141080   40    0    40    88 6730 1130  2 16 81  1  0
 0  0 507436  21080   2372 141084    4    0     4     0 4166  895  1 11 89  0  0
 0  0 507692  21968   2372 140328    4  300     4   300 5981 1420  1 17 82  0  0
 0  0 507692  21092   2372 140332    8    0     8     8 5480  720  1 11 88  0  0
 0  0 507692  22080   2372 140216    0   44     0    44 7335 1017  0 21 79  0  0
 0  0 507692  22252   2380 140216    4    0     4    48 3214  461  0  5 94  1  0
 0  0 507692  21992   2380 140220    0    0     0     0 5997  753  1 11 88  0  0
 3  0 507692  20172   2380 140208   40   28    68    28 6870  945  1 18 81  0  0
 0  0 507692  21860   2380 140188   12    0    12     0 6616  885  1 18 81  0  0
 0  0 507692  18968   2380 140192    4    0     4     4 4347  619  0  8 92  0  0
 0  0 507692  23044   2388 140184    4    0     4    52 8316 1146  1 21 78  1  0
 0  0 507692  23384   2388 140188    4    0     4     0 5835 1107  0 15 85  0  0
 0  0 507692  22144   2388 140192    0    0     0     0 3827  469  1  7 93  0  0
 1  0 507692  30428   2172 132584  484 1920  2092  1920 6835 2511  2 29 67  3  0
 0  0 507692  29632   2172 132612   64    0    64     0 5502 1117  3 14 84  0  0
 2  0 507692  30216   2180 132616    0    0     0    52 5728  699  2 13 85  1  0
 0  0 507692  32964   2180 132620   12    0    12     0 5800  703  1 11 89  0  0
 0  0 507692  30468   2180 132624   48    0    48     0 5408  703  1 13 86  1  0
 0  0 507692  31796   2180 132628   12    0    12     0 6312  893  1 16 83  1  0
 0  0 507692  31264   2180 132632  100    0   100     0 4486  740  1 11 89  0  0
 0  0 507692  32320   2188 132632    8    0     8    28 5076  733  2 17 81  1  0
 0  0 507692  31144   2188 132636    4    0     4     4 5364  513  1  7 92  0  0
 0  0 507692  32200   2188 132640    4    0     4     0 5898  772  1 16 83  0  0
 2  0 507692  26964   2188 132644  836    0   836     0 4325 1261  1 17 80  3  0
 0  0 507692  29548   2188 132648 1204    0  1204     0 5053 1508  1 13 84  2  0
 0  0 507692  28168   2196 132652    0    0     0    16 4300  643  1 11 88  1  0
 0  0 507692  29624   2196 132656    0    0     0     0 5831  794  1 19 81  0  0
 1  0 507692  27936   2196 132660    0    0     0     4 3045  478  2  8 91  0  0
 0  0 507692  28624   2196 132660    4    0     4     0 4337  606  1 11 88  1  0
 0  0 507692  29504   2196 132664    0    0     0     0 3134  620  0 11 89  0  0
 0  0 507692  29612   2204 132668    0    0     0    16 6032  694  1 15 84  0  0
 0  0 507692  28504   2204 132672    4    0     4    44 5359  612  1 13 86  0  0
 0  0 507692  29412   2204 132676    0    0     0     0 5172 1634  1 16 83  0  0
 0  0 507692  28176   2204 132680    0    0     0     4 4839  578  0 11 89  0  0
 0  0 507692  29068   2204 132684    0    0     0     0 7081  841  1 16 83  0  0
 0  0 507692  27424   2212 132684    0    0     0    16 5929  667  1 13 85  1  0
 0  0 507692  26740   2212 132844   76    0   244     0 5173  852  1 13 86  1  0
 0  0 507692  23260   2212 132860    0    0     0     0 2755  484  1  7 93  0  0
 0  0 507692  25032   2212 132864    8    0     8     0 4308  588  1 11 88  1  0
 0  0 507692  27560   2212 132868    0    0     0     4 7398  737  1 14 86  0  0
 0  0 507692  27492   2220 132872  132    0   132    16 6647  884  1 17 81  1  0
 0  0 507692  24308   2220 132876    0    0     0     0 5373  597  1 10 90  0  0
 0  0 507692  25024   2220 132880    0    0     0     0 5965  676  1 14 85  0  0
 0  0 507692  27024   2220 132880    0    0     0     0 5619  855  2 17 82  0  0
 0  0 507692  29780   2220 132884    0    0     0     0 4865  693  0 17 83  0  0
 1  0 507692  25592   2228 132884    4    0     4    20 5462  603  1 12 87  1  0
 0  0 507692  29356   2228 132896    0    0     0   112 5391  741  2 15 84  0  0
 0  0 507692  28428   2228 132900    0    0     0     0 4626  574  1 11 88  0  0
 0  0 507692  28360   2228 132904    0    0     0     0 5953  659  1 14 85  0  0
 0  0 507692  27924   2228 132908    0    0     0     0 3866  354  1  6 93  0  0
 0  0 507692  28664   2236 132904    0    0     0    28 7032  686  0 13 87  0  0
 0  0 507692  29072   2236 132912    0    0     0     8 6238  593  1 13 86  0  0
 0  0 507692  28992   2236 132916    0    0     0     0 6432  870  1 17 82  0  0
 0  0 507436  26656   2236 133000  328    0   408     0 4591  807  1 12 87  1  0
 0  0 507180  28660   2236 133004  212    0   212     0 5890  871  1 14 85  1  0
 2  0 507180  22216   2244 133156   40    0   236    24 6243 1220  1 17 81  1  0
 0  0 507180  26564   2100 127264   24  236   492   300 9054 4435  3 46 51  1  0
 0  0 507180  33180   2116 127316    0    0     0   100 3482  590  1  9 90  1  0
 0  0 507180  31032   2116 127340    0    0     0     0 3876  599  0 11 89  0  0
 0  0 507180  34304   2116 127344    0    0     0     0 6284  975  1 19 81  0  0
 0  0 507180  34124   2116 127344    0    0     0     0 2461  375  0  4 96  0  0
 0  0 507180  35184   2116 127344    0    0     0    16 1834  285  1  3 96  0  0
 0  0 507180  34192   2116 127352    4    0     4     4 6374  835  1 17 82  0  0
 0  0 507180  33844   2124 127352    0    0     0    80 1572  232  0  2 98  0  0
 1  0 507180  29864   2124 127352    0    0     0     0 5229  602  0  9 91  0  0
 0  0 507180  35608   2124 127356    0    0     0     0 5790  659  0 11 89  0  0
 0  0 507180  35072   2124 127356    0    0     0     0  690  154  0  1 99  0  0
 0  0 507180  34168   2124 127360    0    0     0    20 4366  554  1  8 92  0  0
 0  0 507180  33844   2144 127456   24    0   132    80 5824  741  0 16 83  1  0
 0  0 507180  33760   2144 127472    0    0     0     0 3636  455  0  6 94  0  0
 0  0 507180  33556   2144 127476    0    0     0     0 4253  382  0  5 95  0  0
 0  0 507180  35108   2144 127480    0    0     0     0 5178  669  1 13 87  0  0
 0  0 507180  34804   2144 127480    0    0     0    16 4694  538  0 10 90  0  0
 1  0 507180  29020   2152 127480    0    0     0    56 4409  486  0  8 91  1  0
 0  0 507180  34356   2152 127484    8    0     8     4 6652 1091  1 17 82  0  0
 0  0 507180  33716   2152 127488    0    0     0     0 2756  305  1  5 94  0  0
 0  0 507180  30300   2152 127488    0    0     0     0 4957  491  0  8 92  0  0
 0  0 507180  33440   2152 127492    0    0     0    16 4797  637  0 12 88  0  0
 0  0 507180  33440   2152 127492    0    0     0     0 1738  294  0  5 95  0  0
 0  0 507180  35276   2160 127496   24    0    24    28 3333  529  2  9 89  1  0
 0  0 507180  34960   2160 127500    0    0     0     4 5318  580  0 12 88  0  0
 0  0 507180  33760   2160 127500    0    0     0     0 2951  330  1  4 96  0  0
 0  0 507180  32616   2160 127504    0    0     0    16 3395  364  1  4 95  0  0
 0  0 507180  34872   2160 127508    0    0     0     0 5734  639  0 14 86  0  0
