,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa
118,2,0,511748,16376,1692,131084,140,1716,10464,1900,8084,3531,2,60,36,1
157,0,0,512260,22956,2616,127720,0,948,0,1092,9319,6248,2,42,57,0
195,0,0,512516,33864,2732,130348,0,0,0,0,8191,833,1,22,77,0
144,1,0,512516,28948,2396,125828,0,0,0,4,4926,1219,1,23,77,0
159,0,0,512260,18832,2608,127512,64,24,112,24,2020,635,0,5,94,1
93,0,0,511236,33532,1668,127956,0,0,0,0,4541,394,1,7,92,0
38,0,0,512004,19556,1608,143020,0,0,0,20,5657,711,0,14,86,0
46,0,0,512004,19248,1624,143036,0,4,0,4,8143,909,1,15,84,0
147,3,0,512004,18948,2612,130896,28,196,150,196,8586,2120,2,45,53,0
89,0,0,511236,33724,1660,127952,0,0,0,20,4005,375,0,8,92,0
100,0,0,511236,34996,1676,127988,0,0,0,20,8047,935,1,28,71,0
175,10,0,512772,21276,2684,128976,28,192,28,196,9071,2101,1,42,57,1
18,0,1,512004,18876,1512,143796,4,32,4,84,6885,1101,1,16,83,1
122,0,0,512260,39132,1680,124252,0,0,0,0,6296,1395,0,19,81,0
145,0,0,512004,30936,2612,131036,592,0,7387,160,4570,2457,1,35,61,3
121,0,0,512260,35020,1680,124236,748,0,1072,0,5469,4652,2,31,66,2
123,0,0,512260,33828,1680,124260,0,0,0,0,10078,3227,2,42,56,0
119,0,0,512260,24764,1508,126808,264,1740,5480,1772,5859,5757,1,70,26,3
222,0,0,512516,29332,2776,130428,0,0,0,0,8181,891,0,23,77,0
1,0,0,512004,19188,1480,144976,6468,420,8360,420,5093,2536,2,11,77,10
117,2,0,511492,14640,1824,132432,52,740,52,740,4036,876,1,17,82,0
2,0,0,512004,18656,1488,144964,24,0,24,48,7520,2950,3,19,78,1
163,0,0,512516,32012,2544,130236,268,0,3636,24,3406,764,1,8,90,2
0,0,2,516356,17112,1248,148744,883,1480,6039,1548,713,873,3,8,86,4
127,4,0,512260,38540,1708,124264,0,0,0,0,4683,741,1,11,89,0
