procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 516356  17112   1248 148744  883 1480  6039  1548  713  873  3  8 86  4  0
 0  0 512004  19188   1480 144976 6468  420  8360   420 5093 2536  2 11 77 10  0
 0  0 512004  18656   1488 144964   24    0    24    48 7520 2950  3 19 78  1  0
 0  0 512004  19000   1492 144972    0    0     4    28 4259 1235  1  8 91  1  0
 0  0 512004  18252   1492 145080   28    0   148     0 4969 1879  1 11 88  1  0
 0  0 512004  18792   1492 145100   20    0    20     0 3193  882  2  6 92  1  0
 2  0 512004  17456   1492 145104   12    0    12     4 4744 1427  1  9 91  0  0
 0  0 512004  18100   1492 145108    0    0     0     0 4752  826  1  7 92  0  0
 0  0 512004  16012   1500 146292  136   12  1638    68 4788 1050  1 13 85  1  0
 0  0 512004  15656   1500 146292    0    0     0     0 4800  606  0  8 92  0  0
 1  0 512004  15576   1500 145360    0    0     0     0 5355  802  1 12 87  0  0
 0  0 512004  16880   1500 145360   28    0    28     0 4619  720  0  9 90  1  0
 0  0 512004  16960   1500 145364  316    0   316     4 5269  970  0 12 87  1  0
 0  0 512004  17336   1508 145368   24    0    24   116 5180  666  0 10 90  1  0
 0  0 512004  18056   1508 145372    0    0     0     0 3699  651  1  9 91  0  0
 0  0 512004  17052   1508 145376    0    0     0     0 4150  610  1 10 90  0  0
 0  0 512004  16252   1508 145380   60    0    60     0 6579 1085  1 16 83  1  0
 0  0 512004  18204   1508 145384    0    0     0     0 3750  514  1  4 96  0  0
 0  1 512004  18876   1512 143796    4   32     4    84 6885 1101  1 16 83  1  0
 0  0 512004  18876   1512 143796    4    0     4     0 5918  775  1 15 84  0  0
 0  0 512004  17620   1512 145536  104    0  1844     0 5720  850  0 13 86  1  0
 1  0 512004  16332   1512 145648    0    0   148     0 5283  601  0 11 89  0  0
 0  0 512004  19472   1476 143588    0  232     0   232 4596  809  1 19 80  0  0
 0  0 512004  20104   1484 143592    0    0     0    52 5284  889  1  9 90  1  0
 1  0 512004  20196   1484 143596    0    0     0     4 5560  631  1 10 89  0  0
 0  0 512004  19672   1484 143596    0    0     0     0 2791  473  1  8 91  0  0
 0  0 512004  19056   1484 143588    0    0     0     0 4728  638  1  9 89  0  0
 0  0 512004  19628   1484 143592    0    0     0     0 5052  575  1  9 90  0  0
 0  0 512004  18764   1492 143596    0    0     0    48 4011  617  1 10 89  1  0
 0  0 512004  18860   1492 143600    0    0     0     0 3756  559  0  7 93  0  0
 0  0 512004  19140   1492 143604    4    0     4     4 4085  584  1  9 90  1  0
 0  0 512004  18864   1492 143608    0    0     0     0 3133  507  1  6 93  0  0
 0  0 512004  20384   1492 143348    0    4     0     4 6136  802  1 18 81  0  0
 0  0 512004  19288   1500 143348    0    0    12    52 4524  598  1 10 90  0  0
 0  0 512004  18948   1500 143364    0    0     0     0 4538  645  0 10 90  0  0
 0  0 512004  18820   1608 143364    4    0    96   104 4294  667  1  9 89  1  0
 0  0 512004  19816   1608 143012    0   12     0    16 5679  812  1 16 84  0  0
 0  0 512004  20740   1608 143016    0    0     0     0 4513  504  1  6 94  0  0
